Date,Time,Distance from Sensor [mm],Distance from Scale [m],Q rating-curve
11/26/2018,0:00,4.3,0.32,0.056
11/26/2018,0:10,4.2,0.42,0.651
11/26/2018,0:20,3.9,0.72,4.800
11/26/2018,0:30,4,0.62,3.085
11/26/2018,0:40,4.2,0.42,0.651
11/26/2018,0:50,4.3,0.32,0.056
11/26/2018,1:00,4.4,0.22,0.000
11/26/2018,1:10,4.4,0.22,0.000
11/26/2018,1:20,4.4,0.22,0.000
11/26/2018,1:30,4.4,0.22,0.000
11/26/2018,1:40,4.4,0.22,0.000
11/26/2018,1:50,4.4,0.22,0.000
11/26/2018,2:00,4.4,0.22,0.000
11/26/2018,2:10,4.4,0.22,0.000
11/26/2018,2:20,4.4,0.22,0.000
11/26/2018,2:30,4.4,0.22,0.000
11/26/2018,2:40,4.4,0.22,0.000
11/26/2018,2:50,4.4,0.22,0.000
11/26/2018,3:00,4.3,0.32,0.056
11/26/2018,3:10,4.3,0.32,0.056
11/26/2018,3:20,4.3,0.32,0.056
11/26/2018,3:40,4.3,0.32,0.056
11/26/2018,4:10,4.3,0.32,0.056
11/26/2018,4:20,4.3,0.32,0.056
11/26/2018,4:30,4.2,0.42,0.651
11/26/2018,4:40,4.2,0.42,0.651
11/26/2018,4:50,4.2,0.42,0.651
11/26/2018,5:00,4.2,0.42,0.651
11/26/2018,5:10,4.2,0.42,0.651
11/26/2018,5:20,4.3,0.32,0.056
11/26/2018,5:30,4.3,0.32,0.056
11/26/2018,5:40,4.3,0.32,0.056
11/26/2018,5:50,4.3,0.32,0.056
11/26/2018,6:00,4.3,0.32,0.056
11/26/2018,6:10,4.3,0.32,0.056
11/26/2018,6:20,4.1,0.52,1.688
11/26/2018,6:30,3.8,0.82,6.806
11/26/2018,6:40,3.6,1.02,11.617
11/26/2018,6:50,3.5,1.12,14.395
11/26/2018,7:00,3.5,1.12,14.395
11/26/2018,7:10,3.5,1.12,14.395
11/26/2018,7:30,3.4,1.22,17.407
11/26/2018,7:40,3.5,1.12,14.395
11/26/2018,7:50,3.4,1.22,17.407
11/26/2018,8:00,3.4,1.22,17.407
11/26/2018,8:10,3.4,1.22,17.407
11/26/2018,8:20,3.4,1.22,17.407
11/26/2018,8:30,3.4,1.22,17.407
11/26/2018,8:40,3.4,1.22,17.407
11/26/2018,8:50,3.4,1.22,17.407
11/26/2018,9:00,3.4,1.22,17.407
11/26/2018,9:10,3.4,1.22,17.407
11/26/2018,9:20,3.4,1.22,17.407
11/26/2018,9:30,3.5,1.12,14.395
11/26/2018,9:40,3.5,1.12,14.395
11/26/2018,9:50,3.5,1.12,14.395
11/26/2018,10:00,3.6,1.02,11.617
11/26/2018,10:10,3.6,1.02,11.617
11/26/2018,10:20,3.6,1.02,11.617
11/26/2018,10:30,3.6,1.02,11.617
11/26/2018,10:40,3.6,1.02,11.617
11/26/2018,10:50,3.7,0.92,9.084
11/26/2018,11:00,3.7,0.92,9.084
11/26/2018,11:10,3.7,0.92,9.084
11/26/2018,11:20,3.8,0.82,6.806
11/26/2018,11:30,3.8,0.82,6.806
11/26/2018,11:40,3.8,0.82,6.806
11/26/2018,11:50,3.8,0.82,6.806
11/26/2018,12:00,3.8,0.82,6.806
11/26/2018,12:10,3.9,0.72,4.800
11/26/2018,12:10,3.9,0.72,4.800
11/26/2018,12:20,3.9,0.72,4.800
11/26/2018,12:30,3.9,0.72,4.800
11/26/2018,12:40,3.9,0.72,4.800
11/26/2018,12:40,3.9,0.72,4.800
11/26/2018,12:50,3.9,0.72,4.800
11/26/2018,13:00,3.9,0.72,4.800
11/26/2018,13:10,3.9,0.72,4.800
11/26/2018,13:20,3.9,0.72,4.800
11/26/2018,13:30,3.9,0.72,4.800
11/26/2018,13:40,3.9,0.72,4.800
11/26/2018,13:50,3.9,0.72,4.800
11/26/2018,14:00,3.9,0.72,4.800
11/26/2018,14:10,3.9,0.72,4.800
11/26/2018,14:20,3.9,0.72,4.800
11/26/2018,14:40,3.9,0.72,4.800
11/26/2018,14:50,3.9,0.72,4.800
11/26/2018,15:00,3.9,0.72,4.800
11/26/2018,15:10,3.9,0.72,4.800
11/26/2018,15:20,3.9,0.72,4.800
11/26/2018,15:30,4,0.62,3.085
11/26/2018,15:40,3.9,0.72,4.800
11/26/2018,15:50,3.9,0.72,4.800
11/26/2018,16:00,4,0.62,3.085
11/26/2018,16:10,4,0.62,3.085
11/26/2018,16:20,3.9,0.72,4.800
11/26/2018,16:30,4,0.62,3.085
11/26/2018,16:40,3.9,0.72,4.800
11/26/2018,16:50,4,0.62,3.085
11/26/2018,17:00,4,0.62,3.085
11/26/2018,17:10,4,0.62,3.085
11/26/2018,17:20,4,0.62,3.085
11/26/2018,17:30,4,0.62,3.085
11/26/2018,17:40,4,0.62,3.085
11/26/2018,17:50,4,0.62,3.085
11/26/2018,18:00,4,0.62,3.085
11/26/2018,18:10,4,0.62,3.085
11/26/2018,18:20,4,0.62,3.085
11/26/2018,18:30,4,0.62,3.085
11/26/2018,18:40,4,0.62,3.085
11/26/2018,18:50,4,0.62,3.085
11/26/2018,19:00,4,0.62,3.085
11/26/2018,19:10,4,0.62,3.085
11/26/2018,19:20,4,0.62,3.085
11/26/2018,19:30,4,0.62,3.085
11/26/2018,19:30,4,0.62,3.085
11/26/2018,19:40,4,0.62,3.085
11/26/2018,19:50,4,0.62,3.085
11/26/2018,20:00,4,0.62,3.085
11/26/2018,20:10,4,0.62,3.085
11/26/2018,20:20,4,0.62,3.085
11/26/2018,20:30,4,0.62,3.085
11/26/2018,20:40,4,0.62,3.085
11/26/2018,20:50,4,0.62,3.085
11/26/2018,21:00,4,0.62,3.085
11/26/2018,21:10,4,0.62,3.085
11/26/2018,21:20,4,0.62,3.085
11/26/2018,21:30,4,0.62,3.085
11/26/2018,21:50,4,0.62,3.085
11/26/2018,22:00,4,0.62,3.085
11/26/2018,22:10,4,0.62,3.085
11/26/2018,22:20,4,0.62,3.085
11/26/2018,22:30,4,0.62,3.085
11/26/2018,22:40,4,0.62,3.085
11/26/2018,22:50,4,0.62,3.085
11/26/2018,23:00,4,0.62,3.085
11/26/2018,23:10,4,0.62,3.085
11/26/2018,23:20,4,0.62,3.085
11/26/2018,23:30,4.1,0.52,1.688
11/26/2018,23:40,4,0.62,3.085
11/26/2018,23:50,4,0.62,3.085
11/27/2018,0:00,4,0.62,3.085
11/27/2018,0:10,4,0.62,3.085
11/27/2018,0:10,4.1,0.52,1.688
11/27/2018,0:20,4.1,0.52,1.688
11/27/2018,0:30,4,0.62,3.085
11/27/2018,0:40,4,0.62,3.085
11/27/2018,0:50,4.1,0.52,1.688
11/27/2018,1:00,4.1,0.52,1.688
11/27/2018,1:10,4,0.62,3.085
11/27/2018,1:20,4,0.62,3.085
11/27/2018,1:30,4,0.62,3.085
11/27/2018,1:40,4,0.62,3.085
11/27/2018,1:50,4,0.62,3.085
11/27/2018,2:00,4,0.62,3.085
11/27/2018,2:10,4,0.62,3.085
11/27/2018,2:20,4,0.62,3.085
11/27/2018,2:30,4,0.62,3.085
11/27/2018,2:40,4,0.62,3.085
11/27/2018,2:50,4,0.62,3.085
11/27/2018,3:00,3.9,0.72,4.800
11/27/2018,3:10,3.9,0.72,4.800
11/27/2018,3:20,3.9,0.72,4.800
11/27/2018,3:30,3.9,0.72,4.800
11/27/2018,3:40,3.9,0.72,4.800
11/27/2018,3:50,3.9,0.72,4.800
11/27/2018,4:00,3.9,0.72,4.800
11/27/2018,4:10,3.9,0.72,4.800
11/27/2018,4:20,3.9,0.72,4.800
11/27/2018,4:30,3.8,0.82,6.806
11/27/2018,4:40,3.8,0.82,6.806
11/27/2018,5:00,3.8,0.82,6.806
11/27/2018,5:40,3.8,0.82,6.806
11/27/2018,6:50,3.8,0.82,6.806
11/27/2018,7:10,3.8,0.82,6.806
11/27/2018,7:20,3.8,0.82,6.806
11/27/2018,7:20,3.8,0.82,6.806
11/27/2018,7:30,3.8,0.82,6.806
11/27/2018,7:40,3.8,0.82,6.806
11/27/2018,7:50,3.8,0.82,6.806
11/27/2018,8:00,3.8,0.82,6.806
11/27/2018,8:10,3.8,0.82,6.806
11/27/2018,8:20,3.8,0.82,6.806
11/27/2018,8:30,3.7,0.92,9.084
11/27/2018,8:40,3.7,0.92,9.084
11/27/2018,8:50,3.7,0.92,9.084
11/27/2018,9:00,3.7,0.92,9.084
11/27/2018,9:10,3.7,0.92,9.084
11/27/2018,9:20,3.7,0.92,9.084
11/27/2018,9:30,3.7,0.92,9.084
11/27/2018,9:40,3.7,0.92,9.084
11/27/2018,9:50,3.7,0.92,9.084
11/27/2018,10:00,3.7,0.92,9.084
11/27/2018,10:10,3.7,0.92,9.084
11/27/2018,10:20,3.7,0.92,9.084
11/27/2018,10:30,3.7,0.92,9.084
11/27/2018,10:40,3.6,1.02,11.617
11/27/2018,10:50,3.6,1.02,11.617
11/27/2018,11:00,3.6,1.02,11.617
11/27/2018,11:00,3.6,1.02,11.617
11/27/2018,11:10,3.5,1.12,14.395
11/27/2018,11:20,3.5,1.12,14.395
11/27/2018,11:30,3.5,1.12,14.395
11/27/2018,11:40,3.5,1.12,14.395
11/27/2018,11:50,3.5,1.12,14.395
11/27/2018,12:00,3.5,1.12,14.395
11/27/2018,12:10,3.4,1.22,17.407
11/27/2018,12:20,3.4,1.22,17.407
11/27/2018,12:30,3.4,1.22,17.407
11/27/2018,12:40,3.4,1.22,17.407
11/27/2018,12:50,3.3,1.32,20.644
11/27/2018,13:00,3.4,1.22,17.407
11/27/2018,13:10,3.3,1.32,20.644
11/27/2018,13:20,3.3,1.32,20.644
11/27/2018,13:30,3.4,1.22,17.407
11/27/2018,13:40,3.4,1.22,17.407
11/27/2018,13:50,3.3,1.32,20.644
11/27/2018,14:00,3.3,1.32,20.644
11/27/2018,14:10,3.3,1.32,20.644
11/27/2018,14:20,3.3,1.32,20.644
11/27/2018,14:30,3.2,1.42,24.099
11/27/2018,14:40,3.2,1.42,24.099
11/27/2018,14:50,3,1.62,31.637
11/27/2018,15:00,2.9,1.72,35.709
11/27/2018,15:10,2.9,1.72,35.709
11/27/2018,15:20,2.8,1.82,39.976
11/27/2018,15:30,2.7,1.92,44.434
11/27/2018,15:40,2.7,1.92,44.434
11/27/2018,15:50,2.6,2.02,49.079
11/27/2018,16:00,2.6,2.02,49.079
11/27/2018,16:10,2.6,2.02,49.079
11/27/2018,16:20,2.6,2.02,49.079
11/27/2018,16:30,2.6,2.02,49.079
11/27/2018,16:40,2.7,1.92,44.434
11/27/2018,16:50,2.7,1.92,44.434
11/27/2018,17:00,2.7,1.92,44.434
11/27/2018,17:10,2.7,1.92,44.434
11/27/2018,17:20,2.7,1.92,44.434
11/27/2018,17:40,2.7,1.92,44.434
11/27/2018,17:50,2.8,1.82,39.976
11/27/2018,18:00,2.8,1.82,39.976
11/27/2018,18:10,2.8,1.82,39.976
11/27/2018,18:20,2.8,1.82,39.976
11/27/2018,18:30,2.8,1.82,39.976
11/27/2018,18:30,2.9,1.72,35.709
11/27/2018,18:40,2.9,1.72,35.709
11/27/2018,18:50,2.9,1.72,35.709
11/27/2018,19:00,3,1.62,31.637
11/27/2018,19:10,3,1.62,31.637
11/27/2018,19:10,3,1.62,31.637
11/27/2018,19:20,3.1,1.52,27.765
11/27/2018,19:30,3.1,1.52,27.765
11/27/2018,19:30,3.1,1.52,27.765
11/27/2018,19:40,3.1,1.52,27.765
11/27/2018,19:50,3.1,1.52,27.765
11/27/2018,20:00,3.1,1.52,27.765
11/27/2018,20:10,3.2,1.42,24.099
11/27/2018,20:10,3.2,1.42,24.099
11/27/2018,20:20,3.2,1.42,24.099
11/27/2018,20:30,3.2,1.42,24.099
11/27/2018,20:40,3.2,1.42,24.099
11/27/2018,20:50,3.2,1.42,24.099
11/27/2018,20:50,3.3,1.32,20.644
11/27/2018,21:00,3.3,1.32,20.644
11/27/2018,21:10,3.3,1.32,20.644
11/27/2018,21:20,3.3,1.32,20.644
11/27/2018,21:30,3.3,1.32,20.644
11/27/2018,21:40,3.3,1.32,20.644
11/27/2018,21:50,3.3,1.32,20.644
