Date,Time,Distance from Sensor [mm],Distance from Scale [m],Q rating-curve
11/20/2018,16:20,6434,-0.186,2.252353194
11/20/2018,16:30,6429,-0.181,2.384227698
11/20/2018,16:40,6431,-0.183,2.331117778
11/20/2018,16:50,6420,-0.172,2.629102895
11/20/2018,17:00,6432,-0.184,2.304742604
11/20/2018,17:10,6455,-0.207,1.73188097
11/20/2018,17:20,6439,-0.191,2.123498172
11/20/2018,17:30,6452,-0.204,1.80286795
11/20/2018,17:50,6414,-0.166,2.797634108
11/20/2018,18:00,6452,-0.204,1.80286795
11/20/2018,18:10,6451,-0.203,1.826783256
11/20/2018,18:20,6420,-0.172,2.629102895
11/20/2018,18:30,6431,-0.183,2.331117778
11/20/2018,18:50,6443,-0.195,2.022612149
11/20/2018,19:00,6420,-0.172,2.629102895
11/20/2018,19:10,6428,-0.18,2.410961905
11/20/2018,19:20,6442,-0.194,2.047649312
11/20/2018,19:30,6403,-0.155,3.117386473
11/20/2018,19:40,6419,-0.171,2.656900103
11/20/2018,19:50,6454,-0.206,1.755416469
11/20/2018,20:00,6410,-0.162,2.912304573
11/20/2018,20:10,6425,-0.177,2.491878337
11/20/2018,20:30,6455,-0.207,1.73188097
11/20/2018,20:40,6416,-0.168,2.740991878
11/20/2018,20:50,6434,-0.186,2.252353194
11/20/2018,21:00,6423,-0.175,2.546414862
11/20/2018,21:10,6420,-0.172,2.629102895
11/20/2018,21:20,6434,-0.186,2.252353194
11/20/2018,21:30,6448,-0.2,1.899283467
11/20/2018,21:40,6426,-0.178,2.464787487
11/20/2018,21:50,6422,-0.174,2.573860025
11/20/2018,22:00,6457,-0.209,1.685192167
11/20/2018,22:10,6426,-0.178,2.464787487
11/20/2018,23:10,6432,-0.184,2.304742604
11/20/2018,23:50,6423,-0.175,2.546414862
11/21/2018,0:10,6446,-0.198,1.948242275
11/21/2018,0:30,6429,-0.181,2.384227698
11/21/2018,1:40,6426,-0.178,2.464787487
11/21/2018,2:00,6423,-0.175,2.546414862
11/21/2018,2:10,6422,-0.174,2.573860025
11/21/2018,2:20,6431,-0.183,2.331117778
11/21/2018,3:00,6332,-0.084,5.49964989
11/21/2018,3:20,6420,-0.172,2.629102895
11/21/2018,3:50,6410,-0.162,2.912304573
11/21/2018,4:40,6445,-0.197,1.972908323
11/21/2018,4:50,6442,-0.194,2.047649312
11/21/2018,5:20,6445,-0.197,1.972908323
11/21/2018,6:00,6454,-0.206,1.755416469
11/21/2018,6:10,6417,-0.169,2.712844838
11/21/2018,6:20,6428,-0.18,2.410961905
11/21/2018,6:30,6449,-0.201,1.874991341
11/21/2018,6:40,6403,-0.155,3.117386473
11/21/2018,7:10,6426,-0.178,2.464787487
11/21/2018,7:20,6451,-0.203,1.826783256
11/21/2018,8:00,6446,-0.198,1.948242275
11/21/2018,8:10,6467,-0.219,1.459484964
11/21/2018,8:20,6437,-0.189,2.174675593
11/21/2018,8:30,6422,-0.174,2.573860025
11/21/2018,8:40,6449,-0.201,1.874991341
11/21/2018,8:50,6442,-0.194,2.047649312
11/21/2018,9:00,6452,-0.204,1.80286795
11/21/2018,9:10,6445,-0.197,1.972908323
11/21/2018,9:20,6437,-0.189,2.174675593
11/21/2018,9:30,6474,-0.226,1.309304909
11/21/2018,9:40,6454,-0.206,1.755416469
11/21/2018,9:50,6458,-0.21,1.66203956
11/21/2018,10:00,6435,-0.187,2.226339511
11/21/2018,10:10,6477,-0.229,1.246952613
11/21/2018,10:20,6521,-0.273,0.480495809
11/21/2018,10:30,6451,-0.203,1.826783256
11/21/2018,10:40,6472,-0.224,1.351546826
11/21/2018,10:50,6472,-0.224,1.351546826
11/21/2018,11:00,6432,-0.184,2.304742604
11/21/2018,11:10,6461,-0.213,1.593353178
11/21/2018,11:20,6437,-0.189,2.174675593
11/21/2018,11:30,6446,-0.198,1.948242275
11/21/2018,11:40,6458,-0.21,1.66203956
11/21/2018,11:50,6434,-0.186,2.252353194
11/21/2018,12:00,6467,-0.219,1.459484964
11/21/2018,12:10,6455,-0.207,1.73188097
11/21/2018,12:20,6458,-0.21,1.66203956
11/21/2018,12:30,6452,-0.204,1.80286795
11/21/2018,12:40,6449,-0.201,1.874991341
11/21/2018,12:50,6452,-0.204,1.80286795
11/21/2018,13:00,6458,-0.21,1.66203956
11/21/2018,13:10,6458,-0.21,1.66203956
11/21/2018,13:20,6454,-0.206,1.755416469
11/21/2018,13:30,6451,-0.203,1.826783256
11/21/2018,13:40,6435,-0.187,2.226339511
11/21/2018,14:00,6443,-0.195,2.022612149
11/21/2018,14:10,6458,-0.21,1.66203956
11/21/2018,14:20,6460,-0.212,1.616119705
11/21/2018,14:30,6443,-0.195,2.022612149
11/21/2018,14:40,6452,-0.204,1.80286795
11/21/2018,14:50,6449,-0.201,1.874991341
11/21/2018,15:00,6469,-0.221,1.415911769
