Name,Lon_Dec,Lat_Dec,Z_meters,Institution,City,Tipo_Dato
Rio de la Cruz - Puente RP E61,-64.481141,-32.298869,548,Aprhi,La Cruz,Datos_Caudales
Rio Quillinzo,-64.527225,-32.276497,538,Aprhi,Quillinzo,Datos_Caudales
Rio Santa Rosa - Puente de Hierro,-64.549062,-32.0584025,604,Aprhi,Santa Rosa de Calamuchita,Datos_Caudales
Santa Rosa de Calamuchita,-64.6478,-32.0327,680,Aprhi,Río Santa Rosa,Datos_Meteorologicos
Yacanto Norte,-64.8116,-32.0202,1182,Aprhi,Yacanto Norte,Datos_Meteorologicos
Capilla del Carmen,-64.8153,-32.2042,1291,Aprhi,Capilla del Carmen,Datos_Meteorologicos
Villa Amancay,-64.5626,-32.2024,611,MAGYA,Villa Amancay,Datos_Meteorologicos
Villa del Dique,-64.453,-32.1706,554,MAGYA,Villa del Dique,Datos_Meteorologicos
Canada del Sauce,-64.6477,-32.3887,713,Aprhi,Canada del Sauce,Datos_Meteorologicos
Rodeo de los Caballos,-64.7911,-32.4825,1461,MAGYA,Rodeo de los Caballos,Datos_Meteorologicos
Huerta Vieja,-64.7322,-32.509,1089,Aprhi,Huerta Vieja,Datos_Meteorologicos
Rio Los Sauces,-64.6024,-32.5518,777,Aprhi,Rio Los Sauces,Datos_Meteorologicos
